iter	RMSE
0	7.617298809
1	7.511761692
2	7.392412702
3	7.294550529
4	7.202181191
5	7.118489913
6	7.03389957
7	6.943712229
8	6.857899309
9	6.770322396
10	6.691715201
11	6.605491579
12	6.538983306
13	6.467216468
14	6.401266048
15	6.331996784
16	6.265736801
17	6.205740077
18	6.146769668
19	6.082590963
20	6.030573567
21	5.975073588
22	5.925311857
23	5.876715955
24	5.835213561
25	5.789635237
26	5.743538212
27	5.703737577
28	5.661845899
29	5.623964099
30	5.587570827
31	5.5506757
32	5.518356806
33	5.487208731
34	5.451978482
35	5.414556225
36	5.38833199
37	5.362426906
38	5.338010174
39	5.312960921
40	5.283920757
41	5.257062788
42	5.230657434
43	5.203482889
44	5.181785911
45	5.159960071
46	5.143021673
47	5.118934421
48	5.098125192
49	5.080400516
50	5.066144593
51	5.040415325
52	5.019170569
53	5.006156146
54	4.993280527
55	4.976046755
56	4.961468171
57	4.947743429
58	4.934409288
59	4.924592442
60	4.908589095
61	4.890176052
62	4.874508634
63	4.859044059
64	4.840619682
65	4.832134125
66	4.823233803
67	4.80898108
68	4.797210557
69	4.783223105
70	4.769283816
71	4.760373203
72	4.750486933
73	4.738781841
74	4.727542076
75	4.717305449
76	4.704793278
77	4.6939434
78	4.679890601
79	4.671578617
80	4.663797431
81	4.654874976
82	4.638318646
83	4.632803958
84	4.623701643
85	4.615896974
86	4.611139746
87	4.601307008
88	4.593666162
89	4.583699892
90	4.575316369
91	4.565301121
92	4.554645125
93	4.539793163
94	4.535784535
95	4.524272116
96	4.512296142
97	4.50391591
98	4.4933119
99	4.481819376
100	4.474590042
101	4.467973749
102	4.460969621
103	4.45260428
104	4.442163402
105	4.43259611
106	4.424619669
107	4.418342794
108	4.409957155
109	4.40624638
110	4.399211133
111	4.391697936
112	4.382961461
113	4.374126082
114	4.367426543
115	4.360845747
116	4.353775874
117	4.343737036
118	4.332455066
119	4.324961765
120	4.318621419
121	4.313513356
122	4.305876083
123	4.301685753
124	4.292442494
125	4.286447172
126	4.279580865
127	4.273436363
128	4.267581792
129	4.259309006
130	4.253697847
131	4.249274293
132	4.244124333
133	4.234198895
134	4.229067944
135	4.225449464
136	4.21989854
137	4.213853773
138	4.204528594
139	4.200086648
140	4.194510702
141	4.190749838
142	4.183806307
143	4.176538423
144	4.173094854
145	4.169572431
146	4.164697442
147	4.160130973
148	4.155844586
149	4.147304665
150	4.139895967
151	4.132020631
152	4.126024584
153	4.121730306
154	4.116912483
155	4.113144052
156	4.103587513
157	4.10124914
158	4.094186469
159	4.090723963
160	4.086630955
161	4.082228675
162	4.07682645
163	4.070998747
164	4.062531474
165	4.054322888
166	4.049379953
167	4.044898185
168	4.036743621
169	4.033264979
170	4.026735786
171	4.020487478
172	4.016267313
173	4.008881078
174	4.001873715
175	3.997918383
176	3.993051999
177	3.988848895
178	3.982205092
179	3.979690047
180	3.975203048
181	3.963721897
182	3.953625749
183	3.948597523
184	3.94516218
185	3.93995121
186	3.93592142
187	3.932121044
188	3.925964515
189	3.924527795
190	3.919741807
191	3.907910919
192	3.901172809
193	3.895077719
194	3.890567065
195	3.88379866
196	3.879722556
197	3.870033357
198	3.861142514
199	3.853328657
200	3.850315508
201	3.840869629
202	3.837102284
203	3.831100677
204	3.825589116
205	3.820185511
206	3.814503004
207	3.809902456
208	3.802099928
209	3.794118291
210	3.787527428
211	3.782124883
212	3.780436429
213	3.778392726
214	3.775948368
215	3.765164449
216	3.758116229
217	3.756171662
218	3.751211358
219	3.743733868
220	3.739567102
221	3.73625101
222	3.730641023
223	3.721909459
224	3.717331462
225	3.71288803
226	3.703530738
227	3.702306084
228	3.693243839
229	3.691664041
230	3.684884521
231	3.683541719
232	3.673921771
233	3.668132494
234	3.66134142
235	3.655554075
236	3.649703646
237	3.645039941
238	3.637594301
239	3.629425784
240	3.620817959
241	3.619488198
242	3.613470708
243	3.610074755
244	3.601324553
245	3.596696938
246	3.595726466
247	3.591179358
248	3.590033035
249	3.578944826
250	3.571262041
251	3.570160568
252	3.568184555
253	3.555080602
254	3.549663137
255	3.544252059
256	3.538639018
257	3.528593041
258	3.519796884
259	3.518869487
260	3.517647358
261	3.511661275
262	3.510341609
263	3.509110415
264	3.50100957
265	3.48945985
266	3.484111016
267	3.475105316
268	3.468508614
269	3.462354368
270	3.460952286
271	3.454889324
272	3.446279078
273	3.439064056
274	3.434755198
275	3.427549456
276	3.426863454
277	3.425986384
278	3.422817452
279	3.419619341
280	3.417437119
281	3.41167024
282	3.405293316
283	3.400940614
284	3.400163412
285	3.395222029
286	3.393916766
287	3.392862083
288	3.385332882
289	3.380116256
290	3.379386833
291	3.371071439
292	3.365697932
293	3.360622799
294	3.350896196
295	3.341980607
296	3.336864018
297	3.329207103
298	3.322436976
299	3.317725459
300	3.316434473
301	3.30989273
302	3.300205112
303	3.29495408
304	3.28646689
305	3.285835441
306	3.282184694
307	3.281555638
308	3.278023787
309	3.272555897
310	3.265481123
311	3.260468652
312	3.25248419
313	3.25127076
314	3.249594056
315	3.24321499
316	3.23846401
317	3.23812
318	3.232932942
319	3.232166161
320	3.22551166
321	3.215234499
322	3.214726741
323	3.214223891
324	3.213806236
325	3.206525537
326	3.200183609
327	3.199579739
328	3.199057836
329	3.194284942
330	3.188596977
331	3.18046321
332	3.175100144
333	3.169021915
334	3.161942024
335	3.155162071
336	3.151371682
337	3.144355392
338	3.137745392
339	3.133465481
340	3.130292654
341	3.123120189
342	3.118721234
343	3.115895202
344	3.108478465
345	3.103853162
346	3.096822569
347	3.090505792
348	3.089707089
349	3.088958602
350	3.081601704
351	3.077249045
352	3.070609788
353	3.068946187
354	3.060373023
355	3.05943816
356	3.058977696
357	3.052144285
358	3.051434785
359	3.045744466
360	3.040552189
361	3.036291355
362	3.027794161
363	3.022783653
364	3.020039041
365	3.019588721
366	3.012692733
367	3.005823516
368	3.00179999
369	2.993128384
370	2.99278101
371	2.990736942
372	2.988786381
373	2.98821805
374	2.984931215
375	2.979133618
376	2.978740208
377	2.973860772
378	2.967963597
379	2.962126085
380	2.95461501
381	2.947725528
382	2.942167794
383	2.936710192
384	2.932701058
385	2.926663685
386	2.925751086
387	2.918565629
388	2.910373345
389	2.910096255
390	2.905548904
391	2.897725395
392	2.893348507
393	2.886965149
394	2.882989215
395	2.874918541
396	2.869562323
397	2.861495738
398	2.854712705
399	2.848176351
400	2.843267403
401	2.837122891
402	2.832841781
403	2.832521313
404	2.828187274
405	2.823440598
406	2.818259713
407	2.813903307
408	2.813600396
409	2.810003705
410	2.807105104
411	2.803593542
412	2.801693038
413	2.796082014
414	2.793397258
415	2.785934852
416	2.780185507
417	2.776876083
418	2.771582616
419	2.770197808
420	2.765743104
421	2.760174823
422	2.753879839
423	2.751388315
424	2.744078394
425	2.73957937
426	2.735022054
427	2.73448148
428	2.731177615
429	2.725849337
430	2.718041513
431	2.717730637
432	2.712113403
433	2.707173368
434	2.7058583
435	2.699571697
436	2.697432081
437	2.696951795
438	2.696701074
439	2.691159544
440	2.688354074
441	2.683085277
442	2.676026808
443	2.675740684
444	2.670109425
445	2.667098111
446	2.662659776
447	2.660400852
448	2.656708711
449	2.652413498
450	2.647275982
451	2.644543598
452	2.640312924
453	2.64000164
454	2.634922876
455	2.629708678
456	2.624630567
457	2.623185671
458	2.617060929
459	2.613837128
460	2.608801091
461	2.603697334
462	2.59931502
463	2.59210934
464	2.588489618
465	2.584899841
466	2.584473466
467	2.583501634
468	2.583040485
469	2.579003603
470	2.578242792
471	2.57205779
472	2.568002063
473	2.562607422
474	2.557213737
