iter	Passed	Remaining
0	3	3612
1	7	3543
2	10	3502
3	13	3472
4	16	3375
5	20	3368
6	23	3379
7	27	3357
8	30	3333
9	33	3345
10	37	3335
11	40	3318
12	43	3310
13	47	3313
14	50	3299
15	53	3299
16	56	3293
17	60	3292
18	63	3282
19	67	3294
20	70	3293
21	74	3315
22	77	3307
23	81	3297
24	85	3331
25	89	3341
26	93	3355
27	96	3361
28	99	3348
29	103	3337
30	106	3323
31	109	3313
32	112	3306
33	116	3297
34	119	3290
35	122	3282
36	125	3273
37	128	3263
38	134	3302
39	140	3373
40	145	3404
41	149	3409
42	153	3415
43	157	3423
44	161	3424
45	164	3419
46	167	3404
47	170	3387
48	173	3374
49	176	3360
50	179	3347
51	182	3333
52	185	3320
53	188	3309
54	192	3300
55	195	3290
56	198	3277
57	201	3265
58	207	3308
59	212	3330
60	215	3322
61	219	3316
62	222	3311
63	226	3311
64	229	3306
65	234	3318
66	237	3311
67	241	3316
68	244	3296
69	246	3280
70	249	3258
71	251	3237
72	252	3210
73	254	3182
74	255	3155
75	257	3130
76	259	3106
77	260	3079
78	261	3051
79	263	3026
80	264	3000
81	265	2974
82	266	2949
83	268	2924
84	269	2900
85	270	2876
86	271	2854
87	273	2831
88	274	2809
89	276	2793
90	278	2777
91	279	2760
92	281	2743
93	283	2728
94	284	2713
95	286	2697
96	287	2679
97	289	2663
98	290	2643
99	291	2625
100	293	2611
101	294	2596
102	296	2582
103	297	2564
104	299	2548
105	300	2532
106	301	2515
107	302	2500
108	304	2488
109	305	2475
110	307	2463
111	309	2449
112	310	2435
113	311	2421
114	312	2407
115	314	2393
116	315	2379
117	316	2366
118	317	2353
119	319	2341
120	320	2328
121	321	2316
122	323	2303
123	324	2291
124	325	2279
125	326	2267
126	328	2255
127	329	2243
128	330	2232
129	331	2220
130	333	2209
131	334	2197
132	335	2187
133	336	2176
134	338	2166
135	339	2155
136	340	2145
137	341	2134
138	343	2124
139	344	2114
140	345	2104
141	346	2094
142	347	2085
143	349	2075
144	350	2066
145	351	2057
146	352	2047
147	354	2038
148	355	2029
149	356	2021
150	357	2012
151	359	2003
152	360	1995
153	361	1986
154	362	1978
155	363	1969
156	365	1960
157	366	1952
158	367	1943
159	368	1936
160	370	1928
161	371	1920
162	372	1912
163	373	1904
164	374	1896
165	375	1888
166	377	1881
167	378	1873
168	379	1866
169	380	1858
170	381	1851
171	383	1844
172	384	1836
173	385	1829
174	386	1822
175	387	1815
176	389	1808
177	390	1801
178	391	1795
179	392	1789
180	394	1783
181	395	1777
182	396	1771
183	397	1764
184	399	1758
185	400	1751
186	401	1745
187	402	1738
188	403	1732
189	404	1726
190	406	1721
191	408	1717
192	409	1712
193	410	1707
194	412	1701
195	413	1695
196	414	1690
197	415	1684
198	417	1679
199	418	1674
200	419	1668
201	420	1663
202	422	1657
203	423	1652
204	424	1647
205	425	1641
206	427	1636
207	428	1631
208	429	1625
209	431	1622
210	432	1618
211	434	1613
212	435	1608
213	436	1602
214	437	1597
215	438	1592
216	440	1587
217	441	1582
218	442	1577
219	443	1572
220	444	1567
221	445	1562
222	447	1558
223	448	1553
224	449	1548
225	450	1543
226	452	1539
227	453	1534
228	454	1529
229	455	1525
230	456	1520
231	457	1516
232	459	1511
233	460	1507
234	461	1502
235	462	1498
236	463	1493
237	465	1489
238	466	1484
239	467	1480
240	468	1476
241	469	1471
242	471	1467
243	472	1463
244	473	1458
245	474	1454
246	475	1450
247	476	1445
248	477	1441
249	479	1437
250	480	1433
251	481	1429
252	482	1425
253	483	1421
254	485	1417
255	486	1413
256	487	1409
257	488	1405
258	490	1401
259	491	1397
260	492	1393
261	493	1390
262	494	1386
263	496	1382
264	497	1379
265	498	1375
266	499	1371
267	500	1367
268	501	1364
269	503	1360
270	504	1356
271	505	1353
272	506	1349
273	508	1346
274	509	1342
275	510	1338
276	511	1335
277	512	1331
278	513	1328
279	515	1324
280	516	1321
281	517	1317
282	518	1314
283	519	1310
284	521	1307
285	522	1303
286	523	1300
287	524	1296
288	525	1293
289	526	1290
290	528	1286
291	529	1283
292	530	1279
293	531	1276
294	532	1273
295	534	1270
296	535	1267
297	536	1263
298	537	1260
299	539	1257
300	540	1254
301	541	1251
302	542	1248
303	543	1245
304	545	1242
305	546	1238
306	547	1235
307	548	1232
308	549	1229
309	550	1226
310	552	1223
311	553	1221
312	555	1218
313	556	1215
314	558	1214
315	560	1213
316	562	1211
317	563	1209
318	565	1206
319	566	1203
320	567	1200
321	568	1197
322	570	1194
323	571	1191
324	572	1188
325	573	1185
326	574	1182
327	575	1179
328	576	1176
329	578	1173
330	579	1170
331	580	1168
332	581	1165
333	582	1162
334	584	1159
335	585	1156
336	586	1153
337	587	1151
338	588	1148
339	590	1145
340	591	1142
341	592	1139
342	593	1137
343	594	1134
344	596	1131
345	597	1128
346	598	1126
347	599	1123
348	600	1120
349	601	1117
350	603	1115
351	604	1112
352	605	1109
353	606	1107
354	607	1104
355	608	1101
356	610	1098
357	611	1096
358	612	1093
359	613	1090
360	615	1088
361	616	1086
362	617	1083
363	618	1080
364	619	1078
365	621	1075
366	622	1073
367	623	1070
368	624	1068
369	626	1066
370	627	1064
371	628	1061
372	629	1058
373	630	1056
374	632	1053
375	633	1051
376	634	1048
377	635	1046
378	636	1043
379	638	1041
380	639	1038
381	640	1036
382	641	1033
383	642	1031
384	644	1028
385	645	1026
386	647	1025
387	648	1023
388	650	1020
389	651	1018
390	652	1016
391	653	1013
392	655	1011
393	656	1010
394	658	1007
395	659	1005
396	660	1003
397	662	1002
398	664	1000
399	665	997
400	666	995
401	667	993
402	668	991
403	670	988
404	671	986
405	672	984
406	673	981
407	675	979
408	676	977
409	677	975
410	678	972
411	680	970
412	680	967
413	682	965
414	683	963
415	684	960
416	685	958
417	686	956
418	688	954
419	689	951
420	690	949
421	691	947
422	692	945
423	694	943
424	695	940
425	696	938
426	697	936
427	698	934
428	700	931
429	701	929
430	702	927
431	703	925
432	704	922
433	706	920
434	707	918
435	708	916
436	709	914
437	710	911
438	711	909
439	713	907
440	714	905
441	715	903
442	716	901
443	717	898
444	718	896
445	720	894
446	721	892
447	722	890
448	723	888
449	724	885
450	726	883
451	727	881
452	728	879
453	729	877
454	730	875
455	731	873
456	733	871
457	734	868
458	735	866
459	736	865
460	738	862
461	739	860
462	740	858
463	741	857
464	743	854
465	744	852
466	745	850
467	746	848
468	747	846
469	748	844
470	750	842
471	751	840
472	752	838
473	753	836
474	754	834
475	756	832
476	757	830
477	758	828
478	759	826
479	761	824
480	762	822
481	763	820
482	764	818
483	765	816
484	767	814
485	768	812
486	769	810
487	770	808
488	771	806
489	772	804
490	774	802
491	775	800
492	776	798
493	777	796
494	778	794
495	780	792
496	781	790
497	782	788
498	783	787
499	785	785
500	786	783
501	787	781
502	788	779
503	789	777
504	790	775
505	792	773
506	793	771
507	794	769
508	795	767
